Mode,Cycle,Train_Image_Index,True Label,Sampling Reason,Entropy_Score,Confidence_Score
reset,1,14419,0,Initial_Random,,
reset,1,41262,6,Initial_Random,,
reset,1,58138,8,Initial_Random,,
reset,1,9053,3,Initial_Random,,
reset,1,6672,4,Initial_Random,,
reset,1,55677,3,Initial_Random,,
reset,1,694,8,Initial_Random,,
reset,1,30846,4,Initial_Random,,
reset,1,507,1,Initial_Random,,
reset,1,51272,8,Initial_Random,,
reset,1,27513,8,Initial_Random,,
reset,1,23022,3,Initial_Random,,
reset,1,4198,6,Initial_Random,,
reset,1,55095,0,Initial_Random,,
reset,1,31534,1,Initial_Random,,
reset,1,29795,6,Initial_Random,,
reset,1,56968,0,Initial_Random,,
reset,1,39272,4,Initial_Random,,
reset,1,54095,2,Initial_Random,,
reset,1,50278,7,Initial_Random,,
reset,1,34244,0,Initial_Random,,
reset,1,58351,9,Initial_Random,,
reset,1,539,8,Initial_Random,,
reset,1,55534,8,Initial_Random,,
reset,1,3781,9,Initial_Random,,
reset,1,3745,9,Initial_Random,,
reset,1,28013,2,Initial_Random,,
reset,1,18722,9,Initial_Random,,
reset,1,6649,2,Initial_Random,,
reset,1,33770,8,Initial_Random,,
reset,1,39809,4,Initial_Random,,
reset,1,2738,2,Initial_Random,,
reset,1,41054,7,Initial_Random,,
reset,1,37893,4,Initial_Random,,
reset,1,25367,9,Initial_Random,,
reset,1,8877,0,Initial_Random,,
reset,1,53062,4,Initial_Random,,
reset,1,32633,6,Initial_Random,,
reset,1,45940,3,Initial_Random,,
reset,1,6602,6,Initial_Random,,
reset,1,8657,4,Initial_Random,,
reset,1,434,9,Initial_Random,,
reset,1,47134,9,Initial_Random,,
reset,1,8029,8,Initial_Random,,
reset,1,43040,2,Initial_Random,,
reset,1,40671,4,Initial_Random,,
reset,1,52057,5,Initial_Random,,
reset,1,23738,9,Initial_Random,,
reset,1,43299,8,Initial_Random,,
reset,1,1190,6,Initial_Random,,
reset,1,35340,2,Initial_Random,,
reset,1,37489,2,Initial_Random,,
reset,1,25178,5,Initial_Random,,
reset,1,25631,3,Initial_Random,,
reset,1,43176,2,Initial_Random,,
reset,1,16282,8,Initial_Random,,
reset,1,39044,0,Initial_Random,,
reset,1,6112,5,Initial_Random,,
reset,1,37245,7,Initial_Random,,
reset,1,263,7,Initial_Random,,
reset,1,13711,1,Initial_Random,,
reset,1,19326,3,Initial_Random,,
reset,1,26398,5,Initial_Random,,
reset,1,5655,1,Initial_Random,,
reset,1,58531,4,Initial_Random,,
reset,1,31687,5,Initial_Random,,
reset,1,38193,3,Initial_Random,,
reset,1,19092,3,Initial_Random,,
reset,1,55809,7,Initial_Random,,
reset,1,37707,6,Initial_Random,,
reset,1,1882,9,Initial_Random,,
reset,1,43588,8,Initial_Random,,
reset,1,36432,3,Initial_Random,,
reset,1,50440,7,Initial_Random,,
reset,1,44832,7,Initial_Random,,
reset,1,31147,6,Initial_Random,,
reset,1,4021,8,Initial_Random,,
reset,1,48909,7,Initial_Random,,
reset,1,21122,6,Initial_Random,,
reset,1,31595,3,Initial_Random,,
reset,1,28654,5,Initial_Random,,
reset,1,31416,4,Initial_Random,,
reset,1,17691,2,Initial_Random,,
reset,1,49934,4,Initial_Random,,
reset,1,53060,7,Initial_Random,,
reset,1,13859,3,Initial_Random,,
reset,1,14837,2,Initial_Random,,
reset,1,20441,2,Initial_Random,,
reset,1,35848,8,Initial_Random,,
reset,1,47354,2,Initial_Random,,
reset,1,50121,7,Initial_Random,,
reset,1,53874,3,Initial_Random,,
reset,1,20617,4,Initial_Random,,
reset,1,36491,6,Initial_Random,,
reset,1,58984,4,Initial_Random,,
reset,1,16900,3,Initial_Random,,
reset,1,50541,1,Initial_Random,,
reset,1,8345,7,Initial_Random,,
reset,1,20740,7,Initial_Random,,
reset,1,23603,7,Initial_Random,,
reset,2,14419,0,Initial_Random,,
reset,2,41262,6,Initial_Random,,
reset,2,58138,8,Initial_Random,,
reset,2,9053,3,Initial_Random,,
reset,2,6672,4,Initial_Random,,
reset,2,55677,3,Initial_Random,,
reset,2,694,8,Initial_Random,,
reset,2,30846,4,Initial_Random,,
reset,2,507,1,Initial_Random,,
reset,2,51272,8,Initial_Random,,
reset,2,27513,8,Initial_Random,,
reset,2,23022,3,Initial_Random,,
reset,2,4198,6,Initial_Random,,
reset,2,55095,0,Initial_Random,,
reset,2,31534,1,Initial_Random,,
reset,2,29795,6,Initial_Random,,
reset,2,56968,0,Initial_Random,,
reset,2,39272,4,Initial_Random,,
reset,2,54095,2,Initial_Random,,
reset,2,50278,7,Initial_Random,,
reset,2,34244,0,Initial_Random,,
reset,2,58351,9,Initial_Random,,
reset,2,539,8,Initial_Random,,
reset,2,55534,8,Initial_Random,,
reset,2,3781,9,Initial_Random,,
reset,2,3745,9,Initial_Random,,
reset,2,28013,2,Initial_Random,,
reset,2,18722,9,Initial_Random,,
reset,2,6649,2,Initial_Random,,
reset,2,33770,8,Initial_Random,,
reset,2,39809,4,Initial_Random,,
reset,2,2738,2,Initial_Random,,
reset,2,41054,7,Initial_Random,,
reset,2,37893,4,Initial_Random,,
reset,2,25367,9,Initial_Random,,
reset,2,8877,0,Initial_Random,,
reset,2,53062,4,Initial_Random,,
reset,2,32633,6,Initial_Random,,
reset,2,45940,3,Initial_Random,,
reset,2,6602,6,Initial_Random,,
reset,2,8657,4,Initial_Random,,
reset,2,434,9,Initial_Random,,
reset,2,47134,9,Initial_Random,,
reset,2,8029,8,Initial_Random,,
reset,2,43040,2,Initial_Random,,
reset,2,40671,4,Initial_Random,,
reset,2,52057,5,Initial_Random,,
reset,2,23738,9,Initial_Random,,
reset,2,43299,8,Initial_Random,,
reset,2,1190,6,Initial_Random,,
reset,2,35340,2,Initial_Random,,
reset,2,37489,2,Initial_Random,,
reset,2,25178,5,Initial_Random,,
reset,2,25631,3,Initial_Random,,
reset,2,43176,2,Initial_Random,,
reset,2,16282,8,Initial_Random,,
reset,2,39044,0,Initial_Random,,
reset,2,6112,5,Initial_Random,,
reset,2,37245,7,Initial_Random,,
reset,2,263,7,Initial_Random,,
reset,2,13711,1,Initial_Random,,
reset,2,19326,3,Initial_Random,,
reset,2,26398,5,Initial_Random,,
reset,2,5655,1,Initial_Random,,
reset,2,58531,4,Initial_Random,,
reset,2,31687,5,Initial_Random,,
reset,2,38193,3,Initial_Random,,
reset,2,19092,3,Initial_Random,,
reset,2,55809,7,Initial_Random,,
reset,2,37707,6,Initial_Random,,
reset,2,1882,9,Initial_Random,,
reset,2,43588,8,Initial_Random,,
reset,2,36432,3,Initial_Random,,
reset,2,50440,7,Initial_Random,,
reset,2,44832,7,Initial_Random,,
reset,2,31147,6,Initial_Random,,
